id,guests,rooms,beds,baths,price,booked,available
1029663262660176207?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,109,23,98
744813528699045146?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,135,9,112
666113010958261578?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,45,17,104
705094505992222460?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,200,61,60
45007822?check_in=2025-01-21&check_out=2025-01-23,8,3,4,3,99,30,91
51407655?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,125,66,55
1085431298553326906?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,100,1,120
1231432833414803886?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,92,26,95
43126479?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,117,14,107
32565919?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,105,56,65
48209822?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,83,13,108
838289600631385360?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,73,8,113
852140554092729714?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,75,58,63
11254748?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,150,95,26
50009329?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,89,4,117
848373872874746188?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,62,N/A,121
1243827634644120961?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,55,N/A,121
1012299590436123633?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,120,45,76
779573510631352316?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,69,36,85
989090039267534280?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,125,32,89
1039298163765580516?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,40,10,111
695267838747271310?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,120,54,67
44084283?check_in=2025-01-21&check_out=2025-01-23,12,4,4,4.5,995,77,44
35124632?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,75,60,61
12366403?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,164,23,98
1094397166472482803?check_in=2025-01-21&check_out=2025-01-23,8,3,3,2,200,46,75
938475863186324356?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99,24,97
1023062968164567021?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,110,1,120
9712292?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87,96,25
831136430862139920?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,93,48,73
