id,guests,rooms,beds,baths,price,booked,available
1206590342774383461?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,159,4,117
1265227807457431439?check_in=2025-01-21&check_out=2025-01-23,8,2,5,3,118,N/A,121
989356674797185659?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,80,2,119
1042121638404304074?check_in=2025-01-21&check_out=2025-01-23,10,3,6,3,99,14,107
945236776750489490?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,74,6,115
50507631?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2.5,217,44,77
1087101651191695330?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,65,N/A,121
46354212?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,104,82,39
684162070949689805?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,196,34,87
649461647536953045?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65,30,91
42563800?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,114,N/A,121
1198739981312716057?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,132,24,97
1131272800942369922?check_in=2025-01-21&check_out=2025-01-23,8,3,2,2.5,160,39,82
1114446792510588077?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,70,15,5
27392623?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,120,18,103
852080462354787418?check_in=2025-01-21&check_out=2025-01-23,6,3,3,4,210,12,109
1026173015543847845?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,82,12,109
1032876516313329033?check_in=2025-01-21&check_out=2025-01-23,6,3,5,2,182,18,103
1045816578888699640?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,167,107,14
34062097?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,61,37,84
24655604?check_in=2025-01-21&check_out=2025-01-23,5,1,4,1.5,75,6,115
1147165516892881597?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,247,20,101
24673769?check_in=2025-01-21&check_out=2025-01-23,4,1,4,2,89,67,54
582772954486358974?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80,3,118
15830576?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,71,10,111
1204348238690626481?check_in=2025-01-21&check_out=2025-01-23,N/A,0,2,0,35,N/A,121
939789320082604635?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,122,37,84
53393164?check_in=2025-01-21&check_out=2025-01-23,7,3,3,1,338,15,106
51772662?check_in=2025-01-21&check_out=2025-01-23,3,1,0,1,100,22,99
827429607840307487?check_in=2025-01-21&check_out=2025-01-23,6,3,4,3.5,158,23,98
38181795?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99,29,92
19892511?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,224,19,102
615493591656970166?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,90,2,119
1179744500320295715?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,130,N/A,121
988591099851338925?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,46,N/A,121
1195573008756984850?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,165,24,97
1221885187430707530?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,89,27,94
1010114281407056475?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,174,28,93
45988480?check_in=2025-01-21&check_out=2025-01-23,6,3,3,3,158,16,105
977929632089218608?check_in=2025-01-21&check_out=2025-01-23,8,2,4,1,199,31,90
883902756026230043?check_in=2025-01-21&check_out=2025-01-23,4,2,3,2,99,86,35
1261604385291089936?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,98,28,93
1107633568262458008?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2.5,87,6,115
