id,guests,rooms,beds,baths,price,booked,available
971899175324014333?check_in=2025-01-21&check_out=2025-01-23,7,3,4,2.5,,,
23413860?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
867387233197515363?check_in=2025-01-21&check_out=2025-01-23,11,3,11,3,,,
1213513100949985533?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
888598890925470400?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2,,,
1161674367394651200?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,,,
766863042498797604?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,,,
816708128853349325?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2.5,,,
757875329865590263?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,,,
46531079?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,,,
52200084?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
755839508616796944?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
47769403?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,,,
1240151121275637919?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
1264637098468413816?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
50933676?check_in=2025-01-21&check_out=2025-01-23,5,2,2,1,,,
51672447?check_in=2025-01-21&check_out=2025-01-23,3,2,2,1,,,
